ID, saison, Date, journee, id1, id2, score1, score2, Spectateur, JourDeLaSemaine,FTR, FTHG, FTAG, BbMxH, BbMxD, BbMxA, BbAvH, BbAvD, BbAvA, HTHG, HTAG, HTR, HS, AS, HST, AST,HC, AC
41575,1994,19940521,38,3,37,1,2,,Samedi,A,1,2,,,,,,,,,,,,,,,
41570,1994,19940521,38,5,39,2,1,,Samedi,H,2,1,,,,,,,,,,,,,,,
41572,1994,19940521,38,11,38,0,0,,Samedi,D,0,0,,,,,,,,,,,,,,,
41577,1994,19940521,38,19,40,1,1,,Samedi,D,1,1,,,,,,,,,,,,,,,
41569,1994,19940521,38,21,25,2,3,,Samedi,A,2,3,,,,,,,,,,,,,,,
41573,1994,19940521,38,24,29,3,2,,Samedi,H,3,2,,,,,,,,,,,,,,,
41576,1994,19940521,38,26,22,2,2,,Samedi,D,2,2,,,,,,,,,,,,,,,
41574,1994,19940521,38,27,10,2,1,,Samedi,H,2,1,,,,,,,,,,,,,,,
41571,1994,19940521,38,28,31,1,0,,Samedi,H,1,0,,,,,,,,,,,,,,,
41568,1994,19940521,38,33,7,4,1,,Samedi,H,4,1,,,,,,,,,,,,,,,
42050,1995,19940728,1,7,32,1,0,,Jeudi,H,1,0,,,,,,,,,,,,,,,
42049,1995,19940729,1,11,6,0,0,,Vendredi,D,0,0,,,,,,,,,,,,,,,
42048,1995,19940729,1,19,33,0,0,,Vendredi,D,0,0,,,,,,,,,,,,,,,
42044,1995,19940729,1,21,22,1,1,,Vendredi,D,1,1,,,,,,,,,,,,,,,
42043,1995,19940729,1,28,27,0,1,,Vendredi,A,0,1,,,,,,,,,,,,,,,
42042,1995,19940729,1,29,26,0,1,,Vendredi,A,0,1,,,,,,,,,,,,,,,
42047,1995,19940729,1,31,24,1,1,,Vendredi,D,1,1,,,,,,,,,,,,,,,
42041,1995,19940729,1,37,10,2,0,,Vendredi,H,2,0,,,,,,,,,,,,,,,
42045,1995,19940729,1,38,35,1,1,,Vendredi,D,1,1,,,,,,,,,,,,,,,
42046,1995,19940729,1,39,5,1,1,,Vendredi,D,1,1,,,,,,,,,,,,,,,
42051,1995,19940801,2,5,31,1,2,,Lundi,A,1,2,,,,,,,,,,,,,,,
42058,1995,19940802,2,10,11,0,1,,Mardi,A,0,1,,,,,,,,,,,,,,,
42055,1995,19940802,2,22,39,1,0,,Mardi,H,1,0,,,,,,,,,,,,,,,
42053,1995,19940802,2,24,28,3,1,,Mardi,H,3,1,,,,,,,,,,,,,,,
42054,1995,19940802,2,26,38,1,1,,Mardi,D,1,1,,,,,,,,,,,,,,,
42056,1995,19940802,2,27,6,1,2,,Mardi,A,1,2,,,,,,,,,,,,,,,
42052,1995,19940802,2,29,7,0,1,,Mardi,A,0,1,,,,,,,,,,,,,,,
42059,1995,19940802,2,32,37,1,0,,Mardi,H,1,0,,,,,,,,,,,,,,,
42057,1995,19940802,2,33,21,1,0,,Mardi,H,1,0,,,,,,,,,,,,,,,
42060,1995,19940802,2,35,19,0,0,,Mardi,D,0,0,,,,,,,,,,,,,,,
42062,1995,19940805,3,7,26,1,1,,Vendredi,D,1,1,,,,,,,,,,,,,,,
42063,1995,19940805,3,11,27,1,0,,Vendredi,H,1,0,,,,,,,,,,,,,,,
42068,1995,19940805,3,19,32,1,1,,Vendredi,D,1,1,,,,,,,,,,,,,,,
42066,1995,19940805,3,21,35,5,0,,Vendredi,H,5,0,,,,,,,,,,,,,,,
42069,1995,19940805,3,28,5,0,0,,Vendredi,D,0,0,,,,,,,,,,,,,,,
42061,1995,19940805,3,31,10,2,1,,Vendredi,H,2,1,,,,,,,,,,,,,,,
42064,1995,19940805,3,37,22,3,0,,Vendredi,H,3,0,,,,,,,,,,,,,,,
42065,1995,19940805,3,38,29,4,0,,Vendredi,H,4,0,,,,,,,,,,,,,,,
42067,1995,19940805,3,39,33,2,0,,Vendredi,H,2,0,,,,,,,,,,,,,,,
42071,1995,19940812,4,10,28,0,1,,Vendredi,A,0,1,,,,,,,,,,,,,,,
42080,1995,19940813,4,5,6,2,1,,Samedi,H,2,1,,,,,,,,,,,,,,,
42073,1995,19940813,4,22,31,1,2,,Samedi,A,1,2,,,,,,,,,,,,,,,
42072,1995,19940813,4,24,27,1,0,,Samedi,H,1,0,,,,,,,,,,,,,,,
42075,1995,19940813,4,26,19,2,1,,Samedi,H,2,1,,,,,,,,,,,,,,,
42076,1995,19940813,4,29,21,1,2,,Samedi,A,1,2,,,,,,,,,,,,,,,
42078,1995,19940813,4,32,11,2,1,,Samedi,H,2,1,,,,,,,,,,,,,,,
42077,1995,19940813,4,33,37,1,1,,Samedi,D,1,1,,,,,,,,,,,,,,,
42079,1995,19940813,4,35,7,2,0,,Samedi,H,2,0,,,,,,,,,,,,,,,
42074,1995,19940813,4,38,39,2,0,,Samedi,H,2,0,,,,,,,,,,,,,,,
42081,1995,19940819,5,31,33,1,0,,Vendredi,H,1,0,,,,,,,,,,,,,,,
42087,1995,19940820,5,6,10,1,0,,Samedi,H,1,0,,,,,,,,,,,,,,,
42084,1995,19940820,5,7,38,2,1,,Samedi,H,2,1,,,,,,,,,,,,,,,
42083,1995,19940820,5,11,24,5,1,,Samedi,H,5,1,,,,,,,,,,,,,,,
42090,1995,19940820,5,19,29,1,2,,Samedi,A,1,2,,,,,,,,,,,,,,,
42082,1995,19940820,5,21,26,2,1,,Samedi,H,2,1,,,,,,,,,,,,,,,
42089,1995,19940820,5,27,5,1,1,,Samedi,D,1,1,,,,,,,,,,,,,,,
